Documento,Palabra,Frecuencia
Doc 1,librari,6
Doc 3,librari,5
Doc 13,catalogu,7
Doc 16,period,5
Doc 23,code,5
Doc 25,subject,5
Doc 25,librari,6
Doc 26,fact,5
Doc 28,ala,5
Doc 34,librari,6
Doc 34,scienc,7
Doc 36,librari,6
Doc 43,archiv,5
Doc 44,librari,12
Doc 44,legisl,5
Doc 44,cours,5
Doc 45,market,6
Doc 46,inform,5
Doc 47,cours,5
Doc 49,continu,5
Doc 49,educ,5
Doc 50,inform,5
Doc 51,librari,5
Doc 53,librarian,5
Doc 55,librari,5
Doc 56,librari,6
Doc 56,industri,5
Doc 59,art,7
Doc 59,librari,5
Doc 61,nation,5
Doc 61,librari,9
Doc 62,librari,7
Doc 62,servic,5
Doc 63,librari,6
Doc 63,servic,5
Doc 64,music,5
Doc 65,court,5
Doc 65,librari,5
Doc 72,mobil,8
Doc 72,librari,5
Doc 72,servic,5
Doc 74,librari,9
Doc 74,servic,5
Doc 75,librari,7
Doc 76,librari,5
Doc 78,librari,6
Doc 78,educ,5
Doc 79,librari,5
Doc 82,librari,7
Doc 82,univers,9
Doc 83,librari,8
Doc 84,librari,11
Doc 85,librari,9
Doc 88,educ,5
Doc 91,act,5
Doc 95,librari,6
Doc 95,disadvantag,7
Doc 99,child,8
Doc 100,servic,6
Doc 100,librari,6
Doc 101,librari,7
Doc 102,school,5
Doc 102,uk,6
Doc 103,school,11
Doc 103,librari,9
Doc 104,school,5
Doc 107,centr,5
Doc 108,librari,7
Doc 110,librari,8
Doc 110,servic,6
Doc 110,african,5
Doc 114,librari,7
Doc 117,librari,7
Doc 120,archiv,7
Doc 120,local,7
Doc 120,histori,6
Doc 123,archiv,6
Doc 123,african,5
Doc 128,map,7
Doc 129,globe,5
Doc 133,cultur,5
Doc 136,educ,6
Doc 138,stock,5
Doc 140,journal,7
Doc 142,collect,8
Doc 146,librari,7
Doc 146,board,6
Doc 147,plan,5
Doc 149,staff,5
Doc 151,librari,12
Doc 151,univers,5
Doc 156,librari,5
Doc 157,new,5
Doc 159,librari,11
Doc 162,librari,9
Doc 164,commun,5
Doc 165,public,8
Doc 165,relat,6
Doc 166,inform,5
Doc 167,librari,13
Doc 168,univers,7
Doc 168,librari,8
Doc 175,librari,9
Doc 176,fund,6
Doc 176,public,5
Doc 176,librari,6
Doc 178,librari,5
Doc 180,librari,5
Doc 185,librari,5
Doc 196,work,6
Doc 200,staff,5
Doc 200,develop,6
Doc 203,studi,5
Doc 203,age,5
Doc 203,job,7
Doc 203,satisfact,7
Doc 204,librari,6
Doc 205,carpet,5
Doc 207,new,6
Doc 207,librari,12
Doc 207,build,7
Doc 207,number,5
Doc 209,build,5
Doc 210,librari,6
Doc 211,librari,5
Doc 221,librari,5
Doc 222,teacher,5
Doc 222,librari,5
Doc 226,system,6
Doc 226,evalu,7
Doc 226,work,5
Doc 226,inform,8
Doc 226,centr,5
Doc 227,univers,6
Doc 227,librari,6
Doc 228,inform,6
Doc 228,servic,6
Doc 228,industri,7
Doc 228,uganda,6
Doc 230,inform,5
Doc 233,librari,5
Doc 233,countri,6
Doc 235,patent,11
Doc 235,servic,5
Doc 236,inform,6
Doc 236,social,5
Doc 237,develop,5
Doc 237,inform,7
Doc 237,servic,6
Doc 237,social,5
Doc 237,scienc,5
Doc 240,inform,5
Doc 241,librari,6
Doc 241,inform,5
Doc 241,local,6
Doc 243,educ,5
Doc 243,eric,5
Doc 249,inform,6
Doc 250,inform,7
Doc 251,inform,8
Doc 256,inform,7
Doc 256,develop,7
Doc 258,inform,7
Doc 259,scienc,5
Doc 259,inform,5
Doc 261,scientif,5
Doc 261,journal,7
Doc 265,develop,8
Doc 267,inform,7
Doc 271,inform,5
Doc 273,govern,5
Doc 274,polici,6
Doc 281,data,5
Doc 282,librari,6
Doc 285,infoterra,5
Doc 285,inform,6
Doc 286,develop,5
Doc 286,inform,6
Doc 286,system,9
Doc 288,research,6
Doc 292,materi,6
Doc 292,data,5
Doc 293,inform,5
Doc 299,film,5
Doc 301,librari,5
Doc 303,bibliograph,5
Doc 303,descript,5
Doc 312,educ,11
Doc 312,index,6
Doc 313,enquiri,6
Doc 314,statist,5
Doc 315,mark,6
Doc 315,form,5
Doc 315,use,6
Doc 316,intern,5
Doc 316,uap,6
Doc 320,librari,5
Doc 320,request,6
Doc 326,system,6
Doc 331,refer,5
Doc 333,librari,5
Doc 333,order,7
Doc 337,wholesal,6
Doc 339,inform,5
Doc 339,librari,5
Doc 340,librari,9
Doc 341,cost,7
Doc 341,studi,5
Doc 341,palmour,5
Doc 341,ou,5
Doc 342,stocktak,5
Doc 349,secur,5
Doc 349,system,5
Doc 353,librari,6
Doc 358,use,5
Doc 358,card,6
Doc 361,catalogu,5
Doc 364,system,5
Doc 366,oclc,5
Doc 367,marc,5
Doc 370,aacr,5
Doc 374,system,5
Doc 377,index,6
Doc 377,nomin,7
Doc 377,phrase,7
