Documento,Palabra,Frecuencia
Doc 1,indian,4
Doc 1,council,3
Doc 1,librari,6
Doc 1,inform,2
Doc 1,servic,3
Doc 1,research,3
Doc 1,train,2
Doc 1,propos,2
Doc 1,consider,1
Doc 1,critic,1
Doc 1,examin,1
Doc 1,scene,1
Doc 1,manag,2
Doc 1,oper,2
Doc 1,ineffici,1
Doc 1,ineffect,1
Doc 1,result,1
Doc 1,grave,1
Doc 1,misalloc,1
Doc 1,underutilis,1
Doc 1,resourc,1
Doc 1,littl,1
Doc 1,major,2
Doc 1,carri,1
Doc 1,univers,1
Doc 1,librarianship,2
Doc 1,cours,1
Doc 1,much,1
Doc 1,help,1
Doc 1,effici,1
Doc 1,nation,1
Doc 1,institut,1
Doc 1,seriou,1
Doc 1,limit,1
Doc 1,improv,1
Doc 1,situat,1
Doc 1,establish,1
Doc 1,would,1
Doc 1,set,1
Doc 1,govern,1
Doc 1,welldefin,1
Doc 1,role,1
Doc 1,function,1
Doc 1,cover,1
Doc 1,aspect,1
Doc 2,linger,1
Doc 2,fragranc,1
Doc 2,proceed,2
Doc 2,xxiv,1
Doc 2,india,1
Doc 2,librari,1
Doc 2,confer,3
Doc 2,bangalor,1
Doc 2,paper,2
Doc 2,summari,1
Doc 2,nd,1
Doc 2,bagari,1
Doc 2,transcript,1
Doc 2,inaugur,1
Doc 2,speech,1
Doc 2,introductori,1
Doc 2,main,1
Doc 2,present,1
Doc 2,held,1
Doc 2,jan,1
Doc 2,feb,1
Doc 3,xxv,1
Doc 3,india,1
Doc 3,librari,5
Doc 3,confer,2
Doc 3,trivandrum,1
Doc 3,may,1
Doc 3,paper,2
Doc 3,proceed,1
Doc 3,relat,1
Doc 3,indian,1
Doc 3,situat,1
Doc 3,gener,1
Doc 3,state,1
Doc 3,movement,1
Doc 3,kerala,1
Doc 4,malawi,1
Doc 4,librari,1
Doc 4,associ,1
Doc 4,second,1
Doc 4,annual,1
Doc 4,gener,1
Doc 4,meet,2
Doc 4,chancellor,1
Doc 4,colleg,1
Doc 4,saturday,1
Doc 4,april,1
Doc 4,summari,1
Doc 4,proceed,2
Doc 4,list,1
Doc 4,present,1
Doc 4,briefli,1
Doc 4,outlin,1
